,id,username,text,retweet_count,like_count,created_at
0,1623332521965670401,ernestprakasa,Bapack-bapack bertiktoqqqqqqqqq! https://t.co/cRbFT0WCVR,180,929,2023-02-08 14:46:47+00:00
1,1619662789509017600,ernestprakasa,"Puji Tuhan masih dikasih umur sampe 41 taun. Terimakasih buat semua teman-teman yang mengirim ucapan, makanan, dan… https://t.co/rQzVSxXRHD",70,1712,2023-01-29 11:44:35+00:00
2,1619424119354970112,ernestprakasa,"Welcome, Danjuma. ✨",6,142,2023-01-28 19:56:12+00:00
3,1619384194970562560,ernestprakasa,Ternyata KAUM ya bukan KAU. Mindblown. https://t.co/TvDkiVTS5J,12,95,2023-01-28 17:17:33+00:00
4,1619370747113381888,ernestprakasa,Honor your contract FFS. https://t.co/VIXmsWRe2V,1,29,2023-01-28 16:24:07+00:00
5,1619370450483810306,ernestprakasa,"RT @NarasiNewsroom: Saat ayah korban bertanya, “Mana yang nabrak [anak saya]?”

Pensiunan polisi yang menabrak korban seketika berdiri dan…",13436,0,2023-01-28 16:22:56+00:00
6,1619370128537419781,ernestprakasa,RT @ferdiriva: Ini buat yang nge-tag gue terkait video mata orang dikasi bubuk. https://t.co/8GgVHyPVdj,44,0,2023-01-28 16:21:39+00:00
7,1619330077732511746,ernestprakasa,@adhityamulya Lah iya 😂😂😂😂😂,0,12,2023-01-28 13:42:30+00:00
8,1619299213627756546,ernestprakasa,"@SoniaEryka Cant get over our phone call almost a decade ago when u described him as ""di rumah kerjanya main komputer doang"" 😂",78,1206,2023-01-28 11:39:52+00:00
9,1619294932853985285,ernestprakasa,Gak profesional. https://t.co/EpWHqtxfdU,4,27,2023-01-28 11:22:51+00:00
10,1619265191585382401,ernestprakasa,GOKSSSSSS ✨ https://t.co/vuydjuzztC,2,115,2023-01-28 09:24:40+00:00
11,1619265145519357952,ernestprakasa,RT @saidiman: Sri Paus menyatakan homoseksualitas bukan kejahatan. Dia menyebut produk hukum yang mendiskriminasi hak-hak kelompok homoseks…,31,0,2023-01-28 09:24:29+00:00
12,1619228405714796546,ernestprakasa,@chewkinwah COOOL!!!!!!,1,14,2023-01-28 06:58:30+00:00
13,1619006548197670917,ernestprakasa,"RT @yohsandy: Indra Kenz, Doni Salmanan, trus skrg Jhon LBF. Knp di Indonesia, yg pd kenceng pamer kekayaan itu byk fanbase-nya ya? Dielu-e…",169,0,2023-01-27 16:16:55+00:00
14,1619003674440925185,ernestprakasa,"RT @HannahAlrashid: Teman-teman, Rumah Bulan, sebuah rumah aman yang sedang menampung 21 keluarga korban KDRT lagi butuh bantuan untuk baya…",73,0,2023-01-27 16:05:30+00:00
15,1619003555066826754,ernestprakasa,"RT @ikanatassa: teman2,
aku masih nyari nih karya seniman muda indonesia dlm bentuk lukisan acrylic atau mix media on canvas.

kasih rekome…",9,0,2023-01-27 16:05:01+00:00
16,1618995095436668929,ernestprakasa,RT @ArditErwandha: 🙏😭😂👍 https://t.co/9eWnrsr1Sn,1163,0,2023-01-27 15:31:24+00:00
17,1618924412396539904,ernestprakasa,@ivannmakhsara Bellroy,0,41,2023-01-27 10:50:32+00:00
18,1618922424694878211,ernestprakasa,Hebat &amp; inspiratif. ✨ https://t.co/EKKRU8j9fW,11,98,2023-01-27 10:42:38+00:00
19,1618919212780769280,ernestprakasa,"RT @ICJRid: TINDAKAN INI MERUPAKAN UPAYA PAKSA PENGGELEDAHAN!!

TIDAK ADA YANG BOLEH MENGGELEDAH BARANG PRIVASIMU SECARA SEWENANG-WENANG!…",682,0,2023-01-27 10:29:53+00:00
20,1618915276950740995,ernestprakasa,RT @fullmoonfolks: Reminder bahwa AKBP (Purn) Eko Setio Budi Wahono yang nabrak mahasiswa ini nolak ngangkut korban ke RS dan akhirnya butu…,7769,0,2023-01-27 10:14:14+00:00
21,1618915209669914626,ernestprakasa,"RT @Adriandhy: Mau marathon filmnya Tom Hanks terus lanjut nonton filmnya Makbul Mubarak.

Jadi kalau ditanya mau nonton apa, tinggal bilan…",15,0,2023-01-27 10:13:58+00:00
22,1618915189688258561,ernestprakasa,RT @kristoimmanuel: Yg sampe hari ini belum nonton Autobiography di bioskop. You’re missing out.,21,0,2023-01-27 10:13:53+00:00
23,1618911918823182336,ernestprakasa,"RT @txtdarionlshop: JANGAN BUKA DAN INSTALL APLIKASI YANG DIKIRIM OLEH ORANG YANG TIDAK DI KENAL!

Teruntuk orang tua kita yang masih awam…",7011,0,2023-01-27 10:00:54+00:00
24,1618646194925993984,ernestprakasa,@NoviHanabi Ya kaaaaannnnn..,0,14,2023-01-26 16:25:00+00:00
25,1618599858893623298,ernestprakasa,Jalan yang Jauh Jangan Lupa Pulang punya daya pikat audiovisual yang kuat dan romantisme tentang perantauan yang sa… https://t.co/ULtbewDF8y,21,162,2023-01-26 13:20:53+00:00
26,1618579930702557184,ernestprakasa,"RT @awanpamungkas: Halo, gue butuh pelukis tradisional. Gue akan kasih fee 8 s/d 12 juta. Bagi yang merasa bisa ngelukis dan pengen ikutan…",117,0,2023-01-26 12:01:41+00:00
27,1618544010892836864,ernestprakasa,EMANG PARAH WARGA NEGARA INDONESIA INI YA DISURU MAKAN STEAK SAMA BLUEBERRY AJA SUSAH BENER CKCKCKCKCKCKCK...,2,25,2023-01-26 09:38:57+00:00
28,1618394428154195969,ernestprakasa,Keren Arteta. Pas banget contoh buruknya pake video Spurs. Dan sampe sekarang Conte masi sering begitu. 😂😂😂😂😂😂😂😂😂😂😂… https://t.co/vgN8LIqW6l,11,93,2023-01-25 23:44:34+00:00
29,1618386068734382081,ernestprakasa,"RT @JamesMartinSJ: BREAKING: An immense step forward. Pope Francis calls for the decriminalization of homosexuality worldwide: ""Declaring s…",10692,0,2023-01-25 23:11:21+00:00
30,1618385794150051842,ernestprakasa,RT @bintangrafdi: Doesn’t take a genius that this is also a harassment. Two wrongs don’t make it right. Any form of harassment is wrong and…,385,0,2023-01-25 23:10:16+00:00
31,1618385058158776320,ernestprakasa,RT @sofiesyarief: https://t.co/PnYyxoUec6,4,0,2023-01-25 23:07:20+00:00
32,1618378204821225472,ernestprakasa,"RT @tomaspueyo: The tiny island of Java has more population than all of Russia
More than all of Japan

Why? https://t.co/mrkRzU5uCx",7816,0,2023-01-25 22:40:06+00:00
33,1618294929209364484,ernestprakasa,@alandakariza @HaloBCA 🤝,0,10,2023-01-25 17:09:12+00:00
34,1618294670144188417,ernestprakasa,@acotenri Gampar ya,0,12,2023-01-25 17:08:10+00:00
35,1618201365570019329,ernestprakasa,"RT @kompascom: Ada 18 konsumen yang digugat PT MSU, anak usaha PT Lippo Cikarang Tbk. Mereka digugat karena menuntut unit apartemen yang hi…",9,0,2023-01-25 10:57:24+00:00
36,1618167382635352065,ernestprakasa,😂😂😂😂😂😂😂 https://t.co/FlPYcx5Kpz,0,28,2023-01-25 08:42:22+00:00
37,1618166994360205312,ernestprakasa,"Attacker ☑️
Wing Back ☑️ (soon)

Mayan lah buat top 4 aja masa si kaga bisaaaaaa... https://t.co/qgU2dQP9pN",1,13,2023-01-25 08:40:50+00:00
38,1617910454910844931,ernestprakasa,MENYALIP DI TIKUNGAN PEMIRSA! 😂😂😂😂😂😂😂 https://t.co/wet3NAVE3R,3,37,2023-01-24 15:41:26+00:00
39,1617843033583792131,ernestprakasa,"Kenapa sih kok jahat amat? 😭

Miris! Unit Tak Dapat, Konsumen Meikarta Malah Digugat Rp 56 M https://t.co/rYF7uTNMc6",49,285,2023-01-24 11:13:31+00:00
40,1617837879199404032,ernestprakasa,Ini meme apa beneran sih? 😳 https://t.co/Z0v9bsZ8Av,15,180,2023-01-24 10:53:03+00:00
41,1617816938755010563,ernestprakasa,"RT @Starvisionplus: Nonton bareng di Jakarta kemarin sama Alumni SMA 6 Jakarta. Seru sekaliiiiiii......🤩

Terima kasih teman-teman yang sud…",1,0,2023-01-24 09:29:50+00:00
42,1617816047519928320,ernestprakasa,Lah. 😳 https://t.co/Yu045MVngb,4,104,2023-01-24 09:26:17+00:00
43,1617548444717191168,ernestprakasa,"Gw anjing tapi bini gw babi, impas dong? 😂 https://t.co/zFbOgFfn68",13,86,2023-01-23 15:42:56+00:00
44,1617487703729385479,ernestprakasa,"Snow (8) lagi main game, tiba2 teriak ""MY MECHA DIED!"".

Di dua suku kata pertama, jantung gw berhenti sejenak.",4,93,2023-01-23 11:41:34+00:00
45,1617485502613192704,ernestprakasa,"RT @rorypinem: Menonton ulang 'Cek Toko Sebelah 2' dan dibuat semakin jatuh hati olehnya. Narasinya masih terasa ringan, tapi pesona drama…",5,0,2023-01-23 11:32:49+00:00
46,1617455462013890561,ernestprakasa,@kemalpalevi Siaappppppph,0,19,2023-01-23 09:33:27+00:00
47,1617218805712957440,ernestprakasa,@franza__ Udah bener Cristian Eriksen padahal.,0,0,2023-01-22 17:53:04+00:00
48,1617217608742469633,ernestprakasa,"Udah Ryan Mason aja lah sekalian. 4-2-3-1, Ben Davies &amp; Emerson bagus kok jadi full back. Tinggal cari CAM yang ben… https://t.co/LvdM98E0AF",0,16,2023-01-22 17:48:19+00:00
49,1617217020118077440,ernestprakasa,Memang Spurs itu pelit. Tapi Conte maksain 3-4-3 padahal kaga punya wingback juga palabatu. Cocok dah kalian. 🥹 https://t.co/XwgQQjORCb,0,34,2023-01-22 17:45:58+00:00
50,1617213936331554816,ernestprakasa,"RT @Starvisionplus: Liburan Imlek abis bagi-bagi angpao langsung cuss ke bioskop ketemu keluarga Koh Afuk. 🌟

Yuk ajakin keluarga dan sodar…",2,0,2023-01-22 17:33:43+00:00
51,1617196103488925696,ernestprakasa,@txtanakbioskop Gw cari yaaa,0,1,2023-01-22 16:22:51+00:00
52,1617194887635693569,ernestprakasa,"Mungkin gw terlambat ya kenal mereka, tapi Tekotok ini jenius banget dah suwer. 👏👏👏👏👏👏👏👏👏👏👏👏

Berantem Canggung https://t.co/feTEgfrPWI",29,207,2023-01-22 16:18:01+00:00
53,1617062562528624640,ernestprakasa,"""Minta JAV Bang"" https://t.co/kx8StQ76iu",21,168,2023-01-22 07:32:13+00:00
